ID,Unique_ID,State_UT,District,Disease_Illness,No_of_Cases,No_of_Deaths,Date_of_Start_of_Outbreak,Date_of_Reporting,Current_Status,Comments_Action_Taken,Source_Table,Source_PDF,Northeast_State
11,AS/GLP/2024/12/462,Assam,Goalpara,Hepatitis A,21.0,3.0,18-03-24,25-03-24,Under Surveillance,"Cases were reported from Villages Barali, Hatigaon, Khaksipara, Gendabari, Bardak Sub- District Balijana, District Goalpara. Cases presented with yellowish discoloration of eyes, myalgia and fever. Total 40 blood samples were collected and sent to DPHL Goalpara, out of which 6 samples came positive ...",2,2024_week12th_google_drive_outbreak.pdf,Assam
12,AR/LGG/2024/15/600,Arunachal Pradesh,Longding,Cholera,8.0,4.0,08-04-24,15-04-24,Under Surveillance,"Cases reported from Mintong village under HWC Mintong, Longding District. Cases presented with vomiting, watery loose stool, fever in, and headache. Total 5 water, 4 stool 73 rectal swab samples were sent to IDSP-DPHL- Pasighat, East Siang District. All water samples were non-potable for drinking. A...",2,2024_week15th_google_drive_outbreak.pdf,Arunachal Pradesh
13,AS/DBG/2024/15/601,Assam,Dibrugarh,Food Poisoning,9.0,4.0,08-04-24,15-04-24,Under Control,"Cases reported from Khowang BPHC, Fatikacua Ahom Gaon, Sub-District: Moran, District: Dibrugarh. Cases presented from a same family with symptoms of pain abdomen, diarrhea and vomiting after consumption of wild mushrooms on 5/04/2024. District RRT investigated the outbreak. Community awareness and h...",2,2024_week15th_google_drive_outbreak.pdf,Assam
14,AS/SNT/2024/16/659,Assam,Biswanath,Food Poisoning,16.0,4.0,23-04-24,28-04-24,Under Surveillance,"Cases were reported from Village Bijoypur, Sub-District Gohpur, District Biswanath. Cases presented with pain abdomen, loose stools, vomiting, fever and headache. 5 rectal swab samples, 1 water sample and 2 food samples were collected and sent to DPHL Lakhimpur. 3 rectal swab sample showed growth of...",2,2024_week16th_google_drive_outbreak.pdf,Assam
15,AS/JRT/2024/16/660,Assam,Jorhat,Acute Diarrheal Disease,17.0,4.0,23-04-24,28-04-24,Under Surveillance,"Cases were reported from Village Doklongia T.E., Sub-District Mariani, District Jorhat. Cases presented with pain abdomen and loose stools. 3 stool samples were collected and sent to SRL, JMCH. 2 samples showed growth of Enterotoxigenic E.Coli on culture and sensitivity. District RRT investigated th...",2,2024_week16th_google_drive_outbreak.pdf,Assam
16,AS/SBS/2024/17/716,Assam,Charaideo,Food Poisoning,26.0,4.0,28-04-24,28-04-24,Under Control,"Cases reported from Sapekhati Model Hospital, Village: UjankuriGaon, Sub-District: Sonari, District: Charaideo. Cases presented with symptoms of diarrhea and vomiting after consumption of mushrooms by a family. The affected age group was 1 to 30 years. District RRT investigated the outbreak. Communi...",2,2024_week17th_google_drive_outbreak.pdf,Assam
17,AS/DBG/2024/19/866,Assam,Dibrugarh,Hepatitis A,7.0,5.0,14-05-24,21-05-24,Under Surveillance,"Cases were reported from Village Chalakataki No. 1, Sub-District Tengakhat, District Dibrugarh. Cases presented with yellowish discoloration of eyes and urine, loss of appetite. Total 12 blood samples and 10 water samples were collected and sent to RMRC (ICMR), Dibrugarh and SRL lab in AMCH. All the...",2,2024_week19th_google_drive_outbreak.pdf,Assam
18,AS/BON/2024/22/1043,Assam,Bongaigaon,Acute Diarrheal Disease,27.0,5.0,05-06-24,12-06-24,Under Control,"Cases were reported from Chaprakata MPHC, Village Popragaon Pt I, Sub-District: Bongaigaon (Pt), District: Bongaigaon. Cases are presented with symptoms of loose motion and vomiting. Rectal swab sample and water sample was collected and tested on 29th May 2024 at FAAMCH (Fakhruddin Ali Ahmed Medical...",2,2024_week22nd_google_drive_outbreak.pdf,Assam
19,AS/MAR/2024/24/1238,Assam,Marigaon,Acute Diarrheal Disease,13.0,5.0,19-06-24,26-06-24,Under Surveillance,"Cases reported from Village: Sapmari, Bhurbandha BPHC. Cases presented with symptoms of vomiting, abdominal pain, and diarrhea after attending a feast. Three stool samples were collected & sent to DPHL, Morigaon, all showed no growth on culture. District RRT investigated the outbreak. Community awar...",26,2024_week24th_google_drive_outbreak.pdf,Assam
20,AS/DRN/2024/33/1971,Assam,Darrang,Food Poisoning,12.0,8.0,22-08-24,28-08-24,Under Surveillance,"Cases were reported from Village Gelaidingi, Kharupetia BPHC, Sub- District Dalgaon (Pt), District Darrang. Cases presented with abdominal pain, loose stools, fever and weakness. 4 rectal swabs and 1 water sample were collected and sent to DPHL Darrang. Rectal swabs did not show growth of any pathog...",2,2024_week33rd_google_drive_outbreak.pdf,Assam
21,AS/DHE/2024/33/1972,Assam,Dhemaji,Food Poisoning,15.0,8.0,22-08-24,28-08-24,Under Surveillance,"Cases were reported from Sub- District Jonai, District Dhemaji. Cases presented with abdominal pain, loose stools and vomiting. 6 rectal swabs and 2 water samples were collected and sent to DPHL Lakhimpur and DPHL Dhemaji. Rectal swabs did not show growth of any pathogenic organism, and water sample...",2,2024_week33rd_google_drive_outbreak.pdf,Assam
22,AS/DHE/2024/37/2257,Assam,Dhemaji,Food Poisoning,9.0,9.0,20-09-24,27-09-24,Under Surveillance,"Cases were reported from Village Chutiakari, Sub-District Gogamukh, District Dhemaji. Cases presented with abdominal pain, loose stools and vomiting. 4 rectal swabs and 1 water sample was collected and sent to DPHL Lakhimpur. Rectal swabs did not show growth of any pathogenic organism, and water sam...",2,2024_week37th_google_drive_outbreak.pdf,Assam
23,AS/JOH/2024/39/2371,Assam,Jorhat,Acute Diarrheal Disease,27.0,9.0,04-10-24,11-10-24,Under Surveillance,"Cases were reported from Meleng TE, Sub- District Jorhat East, District Jorhat. Cases presented with abdominal pain, loose stools and vomiting. 12 rectal swabs were collected and sent JMCH lab. 8 samples came positive for ETEC, one sample for Vibrio cholera. District RRT investigated the outbreak. C...",2,2024_week39th_google_drive_outbreak.pdf,Assam
24,AS/CHR/2024/40/2416,Assam,Charaideo,Acute Diarrheal Disease,4.0,10.0,11-10-24,18-10-24,Under Surveillance,"Cases reported from Doba SC, Patsaku BPHC, Charaideo. Cases presented with diarrhea. The affected age group was 4 to 62 years. Two rectal swabs were collected & sent to DPHL Sivasagar, both were negative on culture. District RRT investigated the outbreak. Community awareness and health education giv...",2,2024_week40th_google_drive_outbreak.pdf,Assam
25,AS/SON/2024/40/2466,Assam,Sonitpur,Acute Diarrheal Disease,30.0,8.0,11-10-24,18-10-24,Under Surveillance,"Cases were reported from Village: No. 2 Tinikhoria Bagan, Bholabori PHC, Sub-District: Dhekiajuli (Pt), District: Sonitpur. Cases presented with diarrhea. Three rectal swabs were collected & sent for testing, all were negative for any entero-pathogen on culture. Water sample was also sent for testin...",19,2024_week40th_google_drive_outbreak.pdf,Assam
26,AS/JRH/2024/41/2474,Assam,Jorhat,Acute Diarrheal Disease,8.0,10.0,18-10-24,25-10-24,Under Surveillance,"Cases were reported from Govindpur TE, Sub- District Titabor, District Jorhat. Cases presented with abdominal pain, loose stools and vomiting. 5 rectal swabs and 3 water samples were collected and sent to JMCH. All 5 samples came positive for Enterotoxigenic E.Coli (ETEC), by culture and water sampl...",2,2024_week41st_google_drive_outbreak.pdf,Assam
27,AS/JHT/2024/43/2594,Assam,Jorhat,Acute Diarrheal Disease,18.0,10.0,02-11-24,09-11-24,Under Control,"Cases were reported from Village Sokalating Grant, Sub-District Jorhat West, District Jorhat. Cases presented with vomiting, loose stools and pain abdomen. 2 rectal swabs were collected and sent to SRL, JMCH. One sample came positive for Vibrio cholrae and one sample for Klebsiella on culture. Distr...",2,2024_week43rd_google_drive_outbreak.pdf,Assam
28,AS/DRG/2024/47/2817,Assam,Darrang,Food Poisoning,14.0,11.0,28-11-24,28-11-24,Under Surveillance,"Cases were reported from village Hussainchuburi, Sub- District Pathorighat (Pt), District Darrang. Cases presented with loose stools, vomiting and pain abdomen. 5 rectal swabs and 2 water samples sent to DPHL Darang. Rectal swabs did not show growth of any pathogenic organism. Water samples found fi...",17,2024_week47th_google_drive_outbreak.pdf,Assam
29,AS/LKM/2024/49/2873,Assam,Lakhimpur,Acute Diarrheal Disease,5.0,12.0,14-12-24,21-12-24,Under Surveillance,"Cases were reported from a Residential Special Training Centre, village Nowboicha adarsha gaon, Sub- District Naobaicha, District Lakhimpur. Cases presented with loose stools and pain abdomen. 3 rectal swabs and 1 water sample were collected and sent to DPHL, Telahi. Rectal samples did not show grow...",2,2024_week49th_google_drive_outbreak.pdf,Assam
30,MG/WGH/2024/49/2900,Meghalaya,West Garo Hills,Typhoid,6.0,11.0,14-12-24,21-12-24,Under Surveillance,"Cases were reported from Sub- District: Selsella, District West Garo Hills. Cases presented with fever, nausea and vomiting. 86 blood samples came positive for Typhoid by Widal at CHC Bhaitbari. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health edu...",12,2024_week49th_google_drive_outbreak.pdf,Meghalaya
31,AS/BPT/2024/50/2904,Assam,Barpeta,Typhoid,9.0,12.0,21-12-24,28-12-24,Under Control,"Cases were reported from Kalgachia BPHC, Village: Balai Pathar, Sub-District: Kalgachia, District: Barpeta. Cases presented with fever. Five blood samples were tested at DPHL Barpeta, all were positive for S.typhi by TyphiDot/Rapid Card test & Widal test. District RRT investigated the outbreak. Comm...",2,2024_week50th_google_drive_outbreak.pdf,Assam
32,AS/CHR/2024/51/2948,Assam,Cachar,Acute Diarrheal Disease,20.0,12.0,28-12-24,28-12-24,Under Surveillance,"Cases were reported from Village Kathal Grant, Sub-District Silchar, District Cachar. Cases presented with vomiting and loose stools. 5 stool samples and 5 water samples were collected and sent to SMCH and DPHL respectively. Stool samples did not show growth of any pathogenic organism. All water sam...",2,2024_week51st_google_drive_outbreak.pdf,Assam
33,AS/HAI/2024/51/2950,Assam,Hailakandi,Typhoid,20.0,12.0,28-12-24,28-12-24,Under Surveillance,"Cases were reported from Village Harishnagar part I, Sub-District Katlichara, District Hailakandi. Cases presented with fever, pain abdomen and headache. The affected age group was 1-65 years. Total 41 blood samples were collected & sent to DPHL S K Roy Civil hospital, out of which 4 were positive f...",2,2024_week51st_google_drive_outbreak.pdf,Assam
34,AS/DHE/2024/52/2988,Assam,Dhemaji,Typhoid,23.0,12.0,05-12-24,12-12-24,Under Surveillance,"Cases were reported from Santipur Village, under Dekapam MPHC of Jonai BPHC, Dhemaji District. Cases presented with fever. A total of six samples were collected, consisting of four serum and two blood samples. Samples were sent to AMCH, Dekapam MPHC and Jonai PHC. All samples tested positive for typ...",2,2024_week52nd_google_drive_outbreak.pdf,Assam
35,AS/DAR/2024/09/288,Assam,Darrang,Food Poisoning,26.0,2.0,04-03-24,11-03-24,Under Control,"Cases reported from Sipajhar BPHC, Village: Byas Para, Sub-District: Sipajhar, District: Darrang. Cases presented with symptoms of pain abdomen and vomiting after attending a marriage ceremony. The most affected age group was 6-15 years. One water sample was collected for MPN and H2S test & sent to ...",2,2024_week9th_google_drive_outbreak.pdf,Assam
36,AS/BON/2025/10/405,Assam,Bongaigaon,Acute Diarrheal Disease,6.0,3.0,11-03-25,18-03-25,Under Surveillance,"Cases were reported from Ward 4, Tengramari under Abhayapuri SC of Srijangram BPHC. Cases presented with symptoms of loose motion, fever, vomiting after consumption of food from a common kitchen. Five rectal swabs, 1 water and 5 food samples were collected & sent to DPHL, Goalpara. Out of 5 rectal s...",2,2025_week10th_google_drive_outbreak.pdf,Assam
37,AS/JOR/2025/13/545,Assam,Jorhat,Acute Diarrheal Disease,29.0,3.0,02-04-25,09-04-25,Under Surveillance,"Cases were reported from Seleng TE under Salenghat MPHC of Nakachari BPHC, District Jorhat. Cases presented with loose stools and vomiting. 2 rectal swabs were collected and sent to JMCH. One sample showed growth of Enterotoxigenic E.Coli and other of Klebsiella pneumoniae on culture. Two water samp...",2,2025_week13th_google_drive_outbreak.pdf,Assam
38,AS/LKH/2025/13/546,Assam,Lakhimpur,Food Poisoning,29.0,3.0,02-04-25,09-04-25,Under Surveillance,"Cases were reported from Narayanpur chapori village under Dhakuakhana SDCH, District Lakhimpur. Cases presented with fever, pain abdomen, loose stools and vomiting. 7 rectal swabs and one water sample were collected and sent to DPHL Telahi Stool sample did not show growth of any pathogenic organism ...",2,2025_week13th_google_drive_outbreak.pdf,Assam
39,AS/LKM/2025/01/01,Assam,Lakhimpur,Acute Diarrheal Disease,3.0,1.0,08-01-25,15-01-25,Under Surveillance,"Cases were reported from Village Bilotia Kathani, Sub-District Naobaicha, District Lakhimpur. Cases presented with loose motion and pain abdomen. 4 stool samples and 1 water sample were collected and sent to DPHL, Telahi Model hospital. Stool samples did not show growth of any pathogenic organism. W...",1,2025_week1st_google_drive_outbreak.pdf,Assam
40,AS/SNP/2025/03/66,Assam,Sonitpur,Dysentery,16.0,1.0,22-01-25,28-01-25,Under Surveillance,"Cases were reported from No.3 Hirajuli Bagan, Sub-District Dhekiajuli (Pt), District Sonitpur. Cases presented with dysentry. 3 stool samples and 4 water samples were collected and sent to DPHL Sonitpur. Stool samples did not show growth of any pathogenic organism and water samples found fit for pot...",2,2025_week3rd_google_drive_outbreak.pdf,Assam
41,AS/GOL/2025/04/138,Assam,Goalpara,Hepatitis A,14.0,1.0,28-01-25,28-01-25,Under Control,"Cases were reported from a school under Dudhnoi FRU, Village: Thekashu Pt.-II, Sub-District: Dudhnai, District: Goalpara. Cases presented with yellowish discoloration of skin and eyes. The affected age group was 13-19 years. Total 109 blood samples were collected and sent to DPHL Goalpara, out of wh...",18,2025_week4th_google_drive_outbreak.pdf,Assam
42,AS/DIB/2025/05/147,Assam,Dibrugarh,Acute Diarrheal Diseases,1.0,2.0,06-02-25,13-02-25,Under Surveillance,"Cases were reported from Village Napather under Dikhari Kinar Sub Centre, Sub-District Moran, District Dibrugarh. Cases presented with loose watery stools. 1 rectal swab and 3 water samples were collected and sent to AMCH, Dibrugarh. Stool sample showed growth of Shigella flexneri. Water samples fou...",2,2025_week5th_google_drive_outbreak.pdf,Assam
43,AS/GLA/2025/05/148,Assam,Golaghat,Food Poisoning,30.0,1.0,06-02-25,13-02-25,Under Surveillance,"Cases were reported from Village Sonaribil, Sub-District Sarupathar, District Golaghat. Cases presented with pain abdomen, vomiting and loose watery stools after attending a weekly bazar. 3 rectal swabs and 2 water samples were collected and sent to DPHL, SKKCH, Golaghat. Stool samples did not show ...",2,2025_week5th_google_drive_outbreak.pdf,Assam
44,AS/LKH/2025/06/193,Assam,Lakhimpur,Acute Diarrheal Disease,6.0,2.0,13-02-25,20-02-25,Under Surveillance,"Cases reported from Rangajan Majgaon Village under Kachajuli AAM under Bihpuria BPHC. Cases presented with symptoms of fever, headache, abdominal pain, vomiting and loose motion after attending a religious ceremony. Four stool samples were collected & sent to the DPHL Telahi Model Hospital for cultu...",2,2025_week6th_google_drive_outbreak.pdf,Assam
45,AS/DRG/2025/09/354,Assam,Darrang,Acute Diarrheal Disease,1.0,3.0,04-03-25,11-03-25,Under Surveillance,"Cases were reported from Village: Pub Gerimari, Sub-District Mangaldoi (Pt), District Darrang. Cases presented with loose motion, pain abdomen, fever and vomiting. 6 rectal swabs and 2 water samples were collected and sent to IPHL Darrang. Stool samples did not show growth of any pathogenic organism...",2,2025_week9th_google_drive_outbreak.pdf,Assam
46,AS/KAD/2021/05/0040,Assam,Karbianglog (Diphu),Food Poisoning,202.0,0.0,29-01-21,02-02-21,Under Control,"Cases reported from Village Diphu Urban, DMCH Diphu, PHC Manja BPHC, Block Manja. Cases presented with vomiting and loose motion. District RRT investigated the outbreak. Health education was given regarding use of safe drinking water and importance of personal hygiene.",3,5.pdf,Assam
47,AS/KMR/2023/34/1020,Assam,Kamrup,Acute Diarrheal Disease,22.0,8.0,01-01-23,07-01-23,Under Surveillance,"Cases were reported from Village Bardangerikuchi, Sub-District Kamalpur, District Kamrup. Cases presented with loose stools, fever and vomiting. 3 rectal swabs and 4 water sample sent to DPHL Kamrup. District RRT investigated the outbreak. Cases were treated symptomatically. Rectal swab did not show...",2,1036560991697701673.pdf,Assam
48,AR/CNG/2023/36/1152,Arunachal Pradesh,Changlang,Acute Diarrheal Disease,3.0,9.0,01-01-23,07-01-23,Under Surveillance,"Cases were reported from Village Podumoni, Sub-District Bordumsa, District Changlang. Cases presented with loose motion, vomiting and pain abdomen. 12 rectal swabs, 3 water samples and 2 stool samples collected and sent to Bakin Pertin General Hospital and RMRC lab. District RRT investigated the out...",2,128660161699611747.pdf,Arunachal Pradesh
49,AS/DBG/2022/23/397,Assam,Dibrugarh,Acute Diarrheal Disease,10.0,6.0,01-01-22,07-01-22,Under Control,"Cases reported from Village 3 no Chapatoli, Sub center: Baghmora HWC, PHC-Naharani District Dibrugarh. The culture of rectal swab showed growth of Shigella sonnei. The culture report of water sample collected from the loose pipe connected with tube well showed presumptive coliform count- 2 bacilli/1...",2,1409615621661929367.pdf,Assam
50,AS/KAD/2022/23/398,Assam,Karbi Anglong,Acute Diarrheal Disease,9.0,6.0,01-01-22,07-01-22,Under Control,"Cases reported from Village Jeng Bey and Choyang Teron, BPHC Howraghat, District Karbi Anglong. Cases presented with loose stools and vomiting. Two stool and two water samples were collected and sent to DPHL. Two stool samples were sent for culture and found no Enteropathogenic organism. Water sampl...",2,1409615621661929367.pdf,Assam
51,AS/MAR/2022/49/959,Assam,Marigaon,Acute Diarrheal Disease,1.0,12.0,01-01-22,07-01-22,Under Control,"Cases reported from Jagibhakat SD/ Jhargaon BPHC. Cases presented with what symptoms All had mild symptoms of stomachache and diarrhea. Two water samples sent to DPHL, Morigaon. Result – one sample was unsatisfactory for drinking by H2S test. District RRT investigated the outbreak. Health education ...",2,16602315821676010289.pdf,Assam
52,AS/UAL/2023/42/1448,Assam,Udalguri,Food Poisoning,14.0,10.0,01-01-23,07-01-23,Under Control,"Cases reported from village no.1 Sonajuli Gangla HWC, Khoirabari BPHC. Cases presented with symptoms of vomiting & loose watery stool after consuming wild mushroom in dinner on 13-10-2023 by all the affected family members. The affected age group was 13-58 years. Two rectal swabs were sent to DPHL, ...",2,17113853891702917780.pdf,Assam
53,AS/BI/2025/14/585,Assam,Biswanath,Food Poisoning,5.0,4.0,01-01-25,07-01-25,Under Surveillance,"Cases reported from a school in Barangabari, under Helem SHC, Gohpur BPHC, Biswanath. Cases presented with symptoms of fever, vomiting, stomach ache, loose motion after consumption of food from a common kitchen. The affected age group was 18-22 years, predominantly affecting females. Three stool sam...",2,19859808031748855005.pdf,Assam
54,AS/KRG/2017/20/0705,Assam,Karimganj,Acute Diarrheal Disease,12.0,0.0,01-01-17,07-01-17,Under Control,"Cases reported from Village/SC Sekikanishail. Block Nilambazar. District RRT investigated the outbreak. House to house survey done. All 04 stool samples tested at SMCH Silchar, found negative for enteric pathogens. All cases treated symptomatically. Health education given.",3,202017.pdf,Assam
55,AS/DBG/2017/20/0707,Assam,Dibrugarh,Food Poisoning,148.0,0.0,01-01-17,07-01-17,Under Control,"Cases reported from Village Tengapathar, SC Rajgarh, PHC Naharani. District RRT investigated the outbreak. House to house survey done. All cases had consumed food in a religious ceremony. All 4 rectal swabs showed growth of Shigella flexneri type VI on culture at AMCH Dilbrugarh. Health camp organiz...",3,202017.pdf,Assam
56,AS/NLB/2018/20/653,Assam,Nalbari,Acute Diarrheal Diseases,8.0,0.0,19-05-18,19-05-18,Under Surveillance,"Cases reported from Village Balikaria, SC Lokhopur, PHC Chamata, BPHC Chamata. District RRT investigated the outbreak. House to house survey done. 03 Drinking water and 01 stool samples sent to DPHL Nalbari; result awaited. All cases treated symptomatically. Health education given on personal hygien...",3,202018.pdf,Assam
57,AS/SNT/2018/20/654,Assam,Sonitpur,Typhoid,8.0,0.0,19-05-18,19-05-18,Under Surveillance,"Cases reported from Village Bhutpara, Alisinga, Ward No-1, Balisia, SC Polashbosti, Mijibari, Balisia, CHC/PHC Dhekiajuli. District RRT investigated the outbreak. House to house survey done. 12 Water samples collected for MPN test; results awaited. All cases treated symptomatically. Relevant health ...",3,202018.pdf,Assam
58,AR/ESN/2019/16/0394,Arunachal Pradesh,Siang,Food Poisoning,42.0,0.0,14-04-19,14-04-19,Under Surveillance,"Cases reported from Village Pangin Town, CHC Pangin. District RRT investigated the outbreak. Cases suffered from vomiting, abdomen pain with loose motion after consuming community fest food during election voting. All cases treated symptomatically. Health education given.",2,21323410851557989924.pdf,Arunachal Pradesh
59,MZ/LNG/2020/52/520,Mizoram,Lunglei,Food Poisoning,6.0,0.0,19-12-20,21-12-20,Under Control,"Cases reported from Village Ramlaitui, PHC Haulawng. District RRT investigated the outbreak. Active search for cases done. Cases consumed food in social ceremony and presented with symptoms of vomiting and loose motion. Cases treated symptomatically. ORS packets distributed in the affected area. Hea...",3,21592462931612246615.pdf,Mizoram
60,AS/TIN/2019/47/1533,Assam,Tinsukia,Acute Diarrheal Disease,58.0,0.0,20-11-19,21-11-19,Under Control,"Cases reported from Village 1 No, BalijanGaon, SC Balijan, BPHC Hapjan. District RRT investigated the outbreak. Poor sanitation and unhygienic living conditions were observed in the village. A total of 02 water samples and 01 stool sample collected and tested at AMCH Microbiology department. MPN tes...",2,2211220741579085810.pdf,Assam
61,AS/DHE/2023/24/515,Assam,Dhemaji,Acute Diarrheal Disease,16.0,6.0,01-01-23,07-01-23,Under Control,"Cases reported from Village Adi Leku Jonai CHC, District Dhemaji. Cases presented with loose stools, vomiting and pain abdomen. District RRT investigated the outbreak. House- to-house survey was conducted and treated symptomatically. Community awareness and health education given by peripheral team ...",2,23869537881693295660.pdf,Assam
62,AS/BPT/2023/10/201,Assam,Barpeta,Acute Diarrheal Disease,7.0,3.0,01-01-23,07-01-23,Under Control,"Cases reported from Bhawanipur PHC/Howly CHC/ Howly Urban Ward no 1, District Barpeta. The cases had symptoms of abdominal pain and loose stools. District RRT investigated the outbreak. Symptomatic treatment was given. ORS sachets and halogen tablets distributed. Health education was given through c...",2,24421597211682506215.pdf,Assam
63,AP/LHT/2022/43/841,Arunachal Pradesh,Lohit,Acute Diarrheal Disease (Shigella),25.0,10.0,01-01-22,07-01-22,Under Control,"Cases reported from VKV School, Tafragam, Lohit District with complaint of loose motion, abdominal pain and fever. After preliminary investigation by the RRT, five stool samples were collected for laboratory confirmation and sent to RMRC, ICMR Dibrugarh, Assam. All the samples were tested positive f...",2,25411693011672911468.pdf,Arunachal Pradesh
64,MG/JTH/2022/01/002,Meghalaya,East Jaintia Hills,Acute Diarrheal Disease,9.0,0.0,09-01-22,05-01-22,Under Surveillance,"Cases reported from Village Rhymbai PHC, District East Jaintia Hilla. Cases presented with diarrhea, vomiting, nausea and fever after consuming food at the community feast on the occasion of New Year celebration. The most commonly affected age was 20 years. The food that constituted of pork was like...",2,2548782891644495164.pdf,Meghalaya
65,AS/DAR/2019/25/0692,Assam,Darrang (Mangaldoi),Food Poisoning,35.0,0.0,19-06-19,19-06-19,Under Control,"Cases reported from Village Mollapara, SC Mollapara, BPHC Jaljali. District RRT investigated the outbreak. All had history of consuming food in a ceremony. Of all 12 people who consumed food 11 felt sick with abdominal pain and vomiting. All case treated. The source of drinking water is tube-well. 8...",2,25756315101563359659.pdf,Assam
66,AP/WSN/2022/19/224,Arunachal Pradesh,West Siang,Food Poisoning,9.0,5.0,01-01-22,07-01-22,Under Control,"Cases reported from Karpu Kendra Vidyalaya, Bogdo Colony, Aalo, District – West Siang. Cases presented with loose stools and vomiting. District RRT investigated the outbreak and house to house survey was conducted. All cases were given symptomatic treatment and ORS sachets were distributed. Health e...",1,25831535421658994103.pdf,Arunachal Pradesh
